Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-01-20 12:12:33,false,"Wandsworth Running","7.65","517","00:49:33","159","183","4.3","163","170","6:28","5:34","34","35","0.95","0.0","No","00:04:03.3","8","00:48:59","00:50:36","25","46"
Running,2024-01-15 19:34:45,false,"Wandsworth Running","2.35","139","00:14:03","116","143","2.8","136","175","5:58","3:59","2","9","1.24","0.0","No","00:02:09.4","3","00:13:42","00:14:03","25","38"
Running,2024-01-07 11:16:04,false,"Wandsworth - Goal Pace Repeats","10.19","681","01:04:23","163","183","4.7","164","176","6:19","4:34","27","38","0.96","0.0","No","00:02:24.7","11","01:03:20","01:09:48","18","44"
Running,2023-12-31 17:45:25,false,"County Dublin Running","0.33","23","00:01:58.8","149","164","1.1","164","172","5:59","5:10","--","9","1.02","0.0","No","00:01:58.8","1","00:01:56","00:01:58.8","47","56"
Running,2023-12-31 17:00:56,false,"County Dublin - Goal Pace Repeats","5.89","369","00:33:41","156","186","4.0","164","235","5:43","4:47","21","26","1.07","0.0","No","00:05:00","6","00:33:21","00:40:07","26","53"
Running,2023-12-27 15:29:49,false,"County Dublin Running","10.31","694","01:00:03","173","189","5.0","165","173","5:50","4:33","31","28","1.04","0.0","No","00:01:46.8","11","00:59:46","01:03:33","19","55"
Running,2023-12-25 14:31:16,false,"Running","0.00","--","00:00:00.7","77","77","0.0","--","--","--","--","--","--","--","0.0","No","00:00:00.7","1","00:00:00","00:00:00.7","--","--"
Running,2023-12-22 12:53:14,false,"County Dublin Running","7.54","515","00:45:39","169","193","4.9","163","173","6:03","4:41","17","19","1.02","0.0","No","00:02:47.4","8","00:45:34","00:46:10","41","58"
Running,2023-12-18 19:42:38,false,"Wandsworth - Long Easy Run","1.32","128","00:14:38","135","171","2.3","61","220","11:06","2:36","3","3","1.50","0.0","No","00:05:00","2","00:05:30","00:14:38","29","33"
Running,2023-12-18 13:18:52,false,"Wandsworth Running","5.55","367","00:32:53","158","182","4.1","164","172","5:56","4:42","14","26","1.03","0.0","No","00:02:56.0","6","00:32:36","00:33:27","22","44"
Treadmill Running,2023-12-13 20:14:11,false,"Treadmill Running","2.31","163","00:15:34","153","186","3.1","150","171","6:44","4:09","--","--","1.17","0.0","No","00:03:58.1","3","00:15:03","00:15:34","--","--"
Running,2023-12-12 12:49:47,false,"Wandsworth Running","5.01","330","00:27:42","166","189","4.2","166","173","5:32","3:47","16","24","1.09","0.0","No","00:00:01.5","6","00:27:39","00:27:55","24","45"
Running,2023-12-09 09:57:48,false,"Wandsworth - Magic Mile","10.07","619","00:54:26","150","173","5.0","169","179","5:24","4:39","60","58","1.09","0.0","No","00:00:01.3","19","00:54:22","00:54:27","1","14"
Running,2023-12-08 14:08:53,false,"Wandsworth Running","2.04","122","00:10:24","139","154","3.0","162","173","5:05","4:27","12","9","1.21","0.0","No","00:00:13.6","3","00:10:08","00:10:24","28","44"
Running,2023-12-03 17:11:22,false,"Wandsworth - Long Easy Run","5.38","354","00:31:32","158","191","4.0","160","172","5:52","4:48","14","23","1.07","0.0","No","00:03:02.2","6","00:31:09","00:31:32","24","45"
Running,2023-12-02 13:17:06,false,"Wandsworth Running","2.09","132","00:11:38","159","169","2.9","165","173","5:33","4:52","11","10","1.09","0.0","No","00:00:30.8","3","00:11:32","00:11:48","27","36"
Running,2023-12-02 12:43:51,false,"Wandsworth - Benchmark Run","2.14","126","00:11:47","144","167","3.7","158","172","5:31","1:34","8","11","1.15","0.0","No","00:02:00","4","00:11:38","00:28:27","24","40"
Running,2023-11-13 22:52:51,false,"Running","0.00","--","00:00:00.9","68","68","0.0","--","--","--","--","--","--","--","0.0","No","00:00:00.9","1","00:00:00","00:00:00.9","--","--"
Running,2021-07-17 16:11:25,false,"Suffolk Coastal Running","0.06","--","00:04:29.2","--","--","--","--","--","--","22:20","--","--","--","0.0","No","00:04:29.2","1","00:01:13","00:04:29.9","46","47"
